dateCBASS,CBASSrun,fieldTag,Temp,rack.col,rack.position,whirlPak,Z-fix,Notes
6/21/23,2,B37,35,Yellow,4,1,1,
6/21/23,2,B32,35,Yellow,6,2,2,
6/21/23,2,B47,35,Blue,4,3,3,
6/21/23,2,B80,35,OrangeGreen,5,4,4,
6/21/23,2,B75,35,OrangeGreen,6,5,5,
6/21/23,2,B73,35,OrangeGreen,7,6,6,
6/21/23,2,B37,30,Yellow,4,7,7,
6/21/23,2,B32,30,Yellow,6,8,8,
6/21/23,2,B47,30,Blue,4,9,9,
6/21/23,2,B80,30,OrangeGreen,5,10,10,
6/21/23,2,B75,30,OrangeGreen,6,11,11,
6/21/23,2,B73,30,OrangeGreen,7,12,12,
6/21/23,2,B37,32,Yellow,4,13,13,
6/21/23,2,B32,32,Yellow,6,14,14,
6/21/23,2,B47,32,Blue,4,15,15,
6/21/23,2,B80,32,OrangeGreen,5,16,16,
6/21/23,2,B75,32,OrangeGreen,6,17,17,
6/21/23,2,B73,32,OrangeGreen,7,18,18,
6/21/23,2,B37,38,Yellow,4,19,19,
6/21/23,2,B32,38,Yellow,6,20,20,
6/21/23,2,B47,38,Blue,4,21,21,
6/21/23,2,B80,38,OrangeGreen,5,22,22,
6/21/23,2,B75,38,OrangeGreen,6,23,23,
6/21/23,2,B73,38,OrangeGreen,7,24,24,
6/21/23,2,B37,37,Yellow,4,25,25,
6/21/23,2,B32,37,Yellow,6,26,26,
6/21/23,2,B47,37,Blue,4,27,27,
6/21/23,2,B80,37,OrangeGreen,5,28,28,
6/21/23,2,B75,37,OrangeGreen,6,29,29,
6/21/23,2,B73,37,OrangeGreen,7,30,30,
6/21/23,2,B37,36,Yellow,4,31,31,
6/21/23,2,B32,36,Yellow,6,32,32,
6/21/23,2,B47,36,Blue,4,33,33,
6/21/23,2,B80,36,OrangeGreen,5,34,34,
6/21/23,2,B75,36,OrangeGreen,6,35,35,
6/21/23,2,B73,36,OrangeGreen,7,36,36,
6/21/23,2,B37,34,Yellow,4,37,37,
6/21/23,2,B32,34,Yellow,6,38,38,
6/21/23,2,B47,34,Blue,4,39,39,
6/21/23,2,B80,34,OrangeGreen,5,40,40,
6/21/23,2,B75,34,OrangeGreen,6,41,41,
6/21/23,2,B73,34,OrangeGreen,7,42,42,
6/21/23,2,B37,33,Yellow,4,43,43,
6/21/23,2,B32,33,Yellow,6,44,44,
6/21/23,2,B47,33,Blue,4,45,45,
6/21/23,2,B80,33,OrangeGreen,5,46,46,
6/21/23,2,B75,33,OrangeGreen,6,47,47,
6/21/23,2,B73,33,OrangeGreen,7,48,48,
