
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2023-06-29T11:46:56Z,,24.583564437925816,-82.950379131361842,24.719515470787883,-82.793283322826028,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,

Address
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,

PhoneNumber
wptID,Category,value,

Categories
wptID,Category,

trk
ID,name,cmt,desc,src,number,type,DisplayColor,
1,"Current Track: 21 JUN 2023 14:37",,,,,,"Cyan",
2,"Current Track: 22 JUN 2023 08:16",,,,,,"DarkGray",
3,"Current Track: 23 JUN 2023 08:15",,,,,,"DarkGray",
4,"Current Track: 24 JUN 2023 10:33",,,,,,"DarkGray",
5,"Current Track: 25 JUN 2023 07:44",,,,,,"DarkGray",
6,"Current Track: 26 JUN 2023 08:07",,,,,,"DarkGray",
7,"Current Track: 26 JUN 2023 13:59",,,,,,"DarkGray",
8,"Current Track: 27 JUN 2023 08:09",,,,,,"DarkGray",
9,"Current Track: 28 JUN 2023 09:13",,,,,,"DarkGray",

trkseg
ID,trkID,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,

trkpt
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,
1,1,24.717705817893147,-82.825626321136951,-13.800000000000001,2023-06-21T18:37:19Z,,,,,,,,,,,,,,,,,,,,0,
2,1,24.718001447618008,-82.825280986726284,-2.27,2023-06-21T18:37:33Z,,,,,,,,,,,,,,,,,,,,0,
3,1,24.718345357105136,-82.824998600408435,-1.79,2023-06-21T18:37:48Z,,,,,,,,,,,,,,,,,,,,0,
4,1,24.718391373753548,-82.824962558224797,-1.3,2023-06-21T18:37:52Z,,,,,,,,,,,,,,,,,,,,0,
5,1,24.718504613265395,-82.824891060590744,-1.3,2023-06-21T18:38:08Z,,,,,,,,,,,,,,,,,,,,0,
6,1,24.718548282980919,-82.824874045327306,-1.79,2023-06-21T18:38:20Z,,,,,,,,,,,,,,,,,,,,0,
7,1,24.718576865270734,-82.82485912553966,-3.71,2023-06-21T18:38:32Z,,,,,,,,,,,,,,,,,,,,0,
8,1,24.718622965738177,-82.824851749464869,-3.71,2023-06-21T18:38:49Z,,,,,,,,,,,,,,,,,,,,0,
9,1,24.718640232458711,-82.824850492179394,-3.71,2023-06-21T18:39:02Z,,,,,,,,,,,,,,,,,,,,0,
10,1,24.718646937981248,-82.824851330369711,-3.23,2023-06-21T18:39:20Z,,,,,,,,,,,,,,,,,,,,0,
11,1,24.718662947416306,-82.824852084740996,-1.79,2023-06-21T18:39:32Z,,,,,,,,,,,,,,,,,,,,0,
12,1,24.71867635846138,-82.824861640110612,-0.82,2023-06-21T18:39:46Z,,,,,,,,,,,,,,,,,,,,0,
13,1,24.718696475028992,-82.824864825233817,0.14,2023-06-21T18:40:01Z,,,,,,,,,,,,,,,,,,,,0,
14,1,24.718714579939842,-82.824871866032481,0.14,2023-06-21T18:40:16Z,,,,,,,,,,,,,,,,,,,,0,
15,1,24.71872572787106,-82.824878739193082,0.62,2023-06-21T18:40:30Z,,,,,,,,,,,,,,,,,,,,0,
16,1,24.718741737306118,-82.824888881295919,1.1,2023-06-21T18:40:44Z,,,,,,,,,,,,,,,,,,,,0,
17,1,24.718759506940842,-82.824892569333315,1.1,2023-06-21T18:40:54Z,,,,,,,,,,,,,,,,,,,,0,
18,1,24.718793537467718,-82.824898017570376,0.14,2023-06-21T18:41:11Z,,,,,,,,,,,,,,,,,,,,0,
19,1,24.718811055645347,-82.824903298169374,-0.34,2023-06-21T18:41:22Z,,,,,,,,,,,,,,,,,,,,0,
20,1,24.718828657642007,-82.824905226007104,-0.34,2023-06-21T18:41:36Z,,,,,,,,,,,,,,,,,,,,0,
21,1,24.718855815008283,-82.824912266805768,-0.34,2023-06-21T18:41:49Z,,,,,,,,,,,,,,,,,,,,0,
22,1,24.718872997909784,-82.824915619567037,-0.34,2023-06-21T18:42:02Z,,,,,,,,,,,,,,,,,,,,0,
23,1,24.718883223831654,-82.824915116652846,-0.34,2023-06-21T18:42:17Z,,,,,,,,,,,,,,,,,,,,0,
24,1,24.718897137790918,-82.824916541576385,0.14,2023-06-21T18:42:31Z,,,,,,,,,,,,,,,,,,,,0,
25,1,24.718914069235325,-82.82491285353899,0.62,2023-06-21T18:42:44Z,,,,,,,,,,,,,,,,,,,,0,
26,1,24.718942902982235,-82.824920983985066,0.62,2023-06-21T18:42:51Z,,,,,,,,,,,,,,,,,,,,0,
27,1,24.718988500535488,-82.824929533526301,0.62,2023-06-21T18:42:55Z,,,,,,,,,,,,,,,,,,,,0,
28,1,24.719059243798256,-82.824839260429144,0.14,2023-06-21T18:43:06Z,,,,,,,,,,,,,,,,,,,,0,
29,1,24.718924546614289,-82.824842361733317,-0.34,2023-06-21T18:43:18Z,,,,,,,,,,,,,,,,,,,,0,
30,1,24.718860005959868,-82.824873039498925,-0.34,2023-06-21T18:43:22Z,,,,,,,,,,,,,,,,,,,,0,
31,1,24.718696558848023,-82.824891144409776,-1.3,2023-06-21T18:43:31Z,,,,,,,,,,,,,,,,,,,,0,
32,1,24.718558005988598,-82.82480045221746,-0.34,2023-06-21T18:43:45Z,,,,,,,,,,,,,,,,,,,,0,
33,1,24.718521628528833,-82.824775306507945,-0.34,2023-06-21T18:43:59Z,,,,,,,,,,,,,,,,,,,,0,
34,1,24.71851215697825,-82.824779413640499,0.14,2023-06-21T18:44:12Z,,,,,,,,,,,,,,,,,,,,0,
35,1,24.718507966026664,-82.824789555743337,-0.34,2023-06-21T18:44:24Z,,,,,,,,,,,,,,,,,,,,0,
36,1,24.718515006825328,-82.824792908504605,0.14,2023-06-21T18:44:37Z,,,,,,,,,,,,,,,,,,,,0,
37,1,24.71851509064436,-82.824806487187743,0.14,2023-06-21T18:44:52Z,,,,,,,,,,,,,,,,,,,,0,
38,1,24.718516683205962,-82.824806403368711,-0.34,2023-06-21T18:45:05Z,,,,,,,,,,,,,,,,,,,,0,
39,1,24.718514252454042,-82.824802799150348,-0.34,2023-06-21T18:45:18Z,,,,,,,,,,,,,,,,,,,,0,
40,1,24.71851559355855,-82.824806487187743,-0.34,2023-06-21T18:45:30Z,,,,,,,,,,,,,,,,,,,,0,
41,1,24.718514671549201,-82.824817467480898,0.14,2023-06-21T18:45:44Z,,,,,,,,,,,,,,,,,,,,0,
42,1,24.718516431748867,-82.824836913496256,0.14,2023-06-21T18:45:57Z,,,,,,,,,,,,,,,,,,,,0,
43,1,24.71851852722466,-82.824855018407106,0.14,2023-06-21T18:46:13Z,,,,,,,,,,,,,,,,,,,,0,
44,1,24.718519449234009,-82.824874548241496,0.14,2023-06-21T18:46:26Z,,,,,,,,,,,,,,,,,,,,0,
45,1,24.718522969633341,-82.824891228228807,0.14,2023-06-21T18:46:38Z,,,,,,,,,,,,,,,,,,,,0,
46,1,24.718535793945193,-82.824902376160026,0.14,2023-06-21T18:46:51Z,,,,,,,,,,,,,,,,,,,,0,
47,1,24.718547612428665,-82.824906399473548,0.14,2023-06-21T18:47:05Z,,,,,,,,,,,,,,,,,,,,0,
48,1,24.718560436740518,-82.824899526312947,0.14,2023-06-21T18:47:16Z,,,,,,,,,,,,,,,,,,,,0,
49,1,24.718557754531503,-82.824879074469209,-0.34,2023-06-21T18:47:27Z,,,,,,,,,,,,,,,,,,,,0,
50,1,24.718556245788932,-82.824863567948341,-0.82,2023-06-21T18:47:40Z,,,,,,,,,,,,,,,,,,,,0,
51,1,24.718545097857714,-82.824869519099593,-0.34,2023-06-21T18:47:52Z,,,,,,,,,,,,,,,,,,,,0,
