rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col,Rank
1,0.1574,0.2375,0.337,2023-06-20,0,12,35,Pink,1
14,0.1339,0.2014,0.335,2023-06-20,0,10,35,Orange,2
9,0.1667,0.2493,0.331,2023-06-20,0,12,35,Pink,3
5,0.1608,0.24,0.33,2023-06-20,0,10,35,Orange,4
6,0.1427,0.2126,0.329,2023-06-20,0,10,35,Orange,5
13,0.1755,0.2527,0.306,2023-06-20,0,10,35,Orange,6
13,0.1329,0.1872,0.29,2023-06-20,0,12,35,Pink,7
5,0.1535,0.2141,0.283,2023-06-20,0,12,35,Pink,8
3,0.1305,0.1808,0.278,2023-06-20,0,11,35,Blue,9
1,0.1285,0.1774,0.275,2023-06-20,0,11,35,Blue,10
9,0.1256,0.173,0.274,2023-06-20,0,11,35,Blue,11
14,0.1637,0.2248,0.272,2023-06-20,0,12,35,Pink,12
7,0.1437,0.197,0.27,2023-06-20,0,11,35,Blue,13
2,0.131,0.1764,0.258,2023-06-20,0,11,35,Blue,14
8,0.1471,0.1965,0.251,2023-06-20,0,10,35,Orange,15
11,0.1427,0.1906,0.251,2023-06-20,0,12,35,Pink,16
3,0.129,0.172,0.25,2023-06-20,0,12,35,Pink,17
6,0.1769,0.2356,0.249,2023-06-20,0,12,35,Pink,18
8,0.1457,0.194,0.249,2023-06-20,0,12,35,Pink,19
2,0.1413,0.1877,0.247,2023-06-20,0,10,35,Orange,20
4,0.1408,0.1862,0.244,2023-06-20,0,12,35,Pink,21
4,0.1491,0.1935,0.23,2023-06-20,0,11,35,Blue,22
10,0.1398,0.1813,0.229,2023-06-20,0,10,35,Orange,23
2,0.1344,0.174,0.228,2023-06-20,0,12,35,Pink,24
12,0.1452,0.1877,0.227,2023-06-20,0,12,35,Pink,25
10,0.1486,0.1906,0.221,2023-06-20,0,11,35,Blue,26
7,0.174,0.2224,0.218,2023-06-20,0,10,35,Orange,27
16,0.1378,0.176,0.217,2023-06-20,0,10,35,Orange,28
3,0.1398,0.1784,0.216,2023-06-20,0,10,35,Orange,29
15,0.1769,0.2253,0.215,2023-06-20,0,10,35,Orange,30
7,0.1593,0.2014,0.209,2023-06-20,0,12,35,Pink,31
8,0.152,0.1916,0.207,2023-06-20,0,11,35,Blue,32
4,0.1623,0.2014,0.194,2023-06-20,0,10,35,Orange,33
11,0.1388,0.1711,0.189,2023-06-20,0,10,35,Orange,34
10,0.1349,0.1657,0.186,2023-06-20,0,12,35,Pink,35
15,0.1598,0.195,0.18,2023-06-20,0,12,35,Pink,36
12,0.1588,0.1931,0.177,2023-06-20,0,10,35,Orange,37
16,0.1588,0.1931,0.177,2023-06-20,0,12,35,Pink,38
1,0.1364,0.1652,0.175,2023-06-20,0,10,35,Orange,39
6,0.15,0.1818,0.175,2023-06-20,0,11,35,Blue,40
5,0.1686,0.2028,0.169,2023-06-20,0,11,35,Blue,41
11,0.1628,0.195,0.165,2023-06-20,0,11,35,Blue,42
9,0.1359,0.1618,0.16,2023-06-20,0,10,35,Orange,43
12,0.1662,0.194,0.144,2023-06-20,0,11,35,Blue,44
