rack.position,F,Fm,Y,Date,PAR,file,Temp,rack.col
1,0.1442,0.2854,0.495,2023-06-22,0,1,30,Pink
2,0.1339,0.2639,0.493,2023-06-22,0,1,30,Pink
3,0.1256,0.2498,0.497,2023-06-22,0,1,30,Pink
4,0.1403,0.2801,0.499,2023-06-22,0,1,30,Pink
5,0.1403,0.2786,0.496,2023-06-22,0,1,30,Pink
6,0.154,0.2854,0.461,2023-06-22,0,1,30,Pink
7,0.1588,0.2913,0.455,2023-06-22,0,1,30,Pink
8,0.1486,0.2815,0.472,2023-06-22,0,1,30,Pink
1,0.1618,0.306,0.471,2023-06-22,0,10,32,Florida
2,0.15,0.2874,0.478,2023-06-22,0,10,32,Florida
3,0.1437,0.2903,0.505,2023-06-22,0,10,32,Florida
4,0.1471,0.262,0.438,2023-06-22,0,10,32,Florida
5,0.1427,0.262,0.455,2023-06-22,0,10,32,Florida
6,0.153,0.2913,0.475,2023-06-22,0,10,32,Florida
7,0.1535,0.263,0.416,2023-06-22,0,10,32,Florida
8,0.152,0.2537,0.401,2023-06-22,0,10,32,Florida
1,0.064,0.0626,0,2023-06-22,0,11,38,Pink
2,0.0543,0.0533,0,2023-06-22,0,11,38,Pink
3,0.1618,0.1593,0,2023-06-22,0,11,38,Pink
4,0.1764,0.1725,0,2023-06-22,0,11,38,Pink
5,0.0914,0.0909,0,2023-06-22,0,11,38,Pink
6,0.0968,0.0963,0,2023-06-22,0,11,38,Pink
7,0.0577,0.0552,0,2023-06-22,0,11,38,Pink
8,0.0894,0.0894,0,2023-06-22,0,11,38,Pink
1,0.0728,0.0743,0,2023-06-22,0,12,38,Orange
2,0.0601,0.0606,0,2023-06-22,0,12,38,Orange
3,0.2542,0.2586,0.017,2023-06-22,0,12,38,Orange
4,0.0635,0.066,0,2023-06-22,0,12,38,Orange
5,0.3294,0.3226,0,2023-06-22,0,12,38,Orange
6,0.0611,0.0606,0,2023-06-22,0,12,38,Orange
7,0.0621,0.0616,0,2023-06-22,0,12,38,Orange
8,0.0894,0.087,0,2023-06-22,0,12,38,Orange
1,0.0582,0.0601,0,2023-06-22,0,13,38,Yellow
2,0.0611,0.063,0,2023-06-22,0,13,38,Yellow
3,0.0987,0.0997,0,2023-06-22,0,13,38,Yellow
4,0.0621,0.0616,0,2023-06-22,0,13,38,Yellow
5,0.0523,0.0523,0,2023-06-22,0,13,38,Yellow
6,0.0474,0.0459,0,2023-06-22,0,13,38,Yellow
7,0.0831,0.085,0,2023-06-22,0,13,38,Yellow
8,0.0968,0.0982,0,2023-06-22,0,13,38,Yellow
1,0.0704,0.0699,0,2023-06-22,0,14,38,Blue
2,0.1681,0.1637,0,2023-06-22,0,14,38,Blue
3,0.0948,0.0929,0,2023-06-22,0,14,38,Blue
4,0.0758,0.0758,0,2023-06-22,0,14,38,Blue
5,0.4125,0.4052,0,2023-06-22,0,14,38,Blue
6,0.0518,0.0523,0,2023-06-22,0,14,38,Blue
7,0.1911,0.2063,0.073,2023-06-22,0,14,38,Blue
8,0.0528,0.0538,0,2023-06-22,0,14,38,Blue
1,0.0758,0.0748,0,2023-06-22,0,15,38,Florida
